,company,title,salary,location,submit date,start date,year,salary_normalized,level,category,relevance,cpi_pct
49,ASCEND ELEMENTS INC,DIRECTOR OF CATHODE DEVELOPMENT AND ANALYSIS,190000.0,"WESTBOROUGH, MA",05/18/2023,10/01/2023,2023,190000.0,Director,Battery General,Relevant,1.0
50,ASCEND ELEMENTS INC,INORGANIC CHEMIST PROCESS ENGINEER,110000.0,"WESTBOROUGH, MA",12/09/2022,12/12/2022,2022,115411.0,Junior,Research,Relevant,1.0491910269771574
51,ASCEND ELEMENTS INC,"MANAGER, CATHODE AME",143000.0,"WESTBOROUGH, MA",06/15/2022,10/01/2022,2022,150034.0,Manager,Battery General,Relevant,1.0491910269771574
52,ASCEND ELEMENTS INC,QUALITY ENGINEER,93000.0,"WESTBOROUGH, MA",06/02/2023,10/01/2023,2023,93000.0,Junior,Test/QA,Relevant,1.0
53,ASCEND ELEMENTS INC,STAFF ACCOUNTANT,80000.0,"WESTBOROUGH, MA",06/16/2023,06/19/2023,2023,80000.0,Staff,Irrelevant,Irrelevant,1.0
54,ATIEVA USA INC,ACCOUNTANT,56181.0,"MENLO PARK, CA",03/03/2015,09/02/2015,2015,72933.0,Junior,Irrelevant,Irrelevant,1.2981756685339816
55,ATIEVA USA INC,ACCOUNTANT,57304.0,"MENLO PARK, CA",03/03/2016,09/02/2016,2016,72879.0,Junior,Irrelevant,Irrelevant,1.2717908148049968
56,ATIEVA USA INC,ACCOUNTANT,60000.0,"NEWARK, CA",02/07/2019,08/09/2019,2019,71692.0,Junior,Irrelevant,Irrelevant,1.1948718547401682
57,ATIEVA USA INC,ADAS AD HIL VALIDATION ENGINEER,125000.0,"NEWARK, CA",04/13/2020,10/01/2020,2020,147352.0,Junior,Test/QA,Relevant,1.178816311800794
58,ATIEVA USA INC,AEROACOUSTICS ENGINEER,130000.0,"NEWARK, CA",12/20/2018,12/31/2018,2018,158883.0,Junior,Mechanical,Relevant,1.2221762268491798
59,ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,119122.0,"NEWARK, CA",05/22/2020,10/01/2020,2020,140423.0,Junior,Software,Relevant,1.178816311800794
60,ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,125000.0,"NEWARK, CA",08/18/2020,10/01/2020,2020,147352.0,Junior,Software,Relevant,1.178816311800794
61,ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,130000.0,"NEWARK, CA",10/03/2019,10/14/2019,2019,155333.0,Junior,Software,Relevant,1.1948718547401682
62,ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,135000.0,"NEWARK, CA",10/25/2019,11/11/2019,2019,161308.0,Junior,Software,Relevant,1.1948718547401682
63,ATIEVA USA INC,ANDROID SOFTWARE ENGINEER,150000.0,"NEWARK, CA",10/23/2019,11/04/2019,2019,179231.0,Junior,Software,Relevant,1.1948718547401682
64,ATIEVA USA INC,ASSOCIATE CAD ENGINEER,85000.0,"NEWARK, CA",05/21/2020,10/01/2020,2020,100199.0,Junior,Mechanical,Relevant,1.178816311800794
65,ATIEVA USA INC,ASSOCIATE MECHANICAL ENGINEER,87610.0,"MENLO PARK, CA",03/03/2017,09/02/2017,2017,109120.0,Junior,Mechanical,Relevant,1.2455217341922085
66,ATIEVA USA INC,ASSOCIATE MECHANICAL ENGINEER,89710.0,"NEWARK, CA",12/15/2017,12/20/2017,2017,111736.0,Junior,Mechanical,Relevant,1.2455217341922085
67,ATIEVA USA INC,ATLASSIAN SERVICE ENGINEER,150000.0,"NEWARK, CA",02/13/2020,03/09/2020,2020,176822.0,Junior,General,Relevant,1.178816311800794
68,ATIEVA USA INC,AUTOMOTIVE ELECTRONICS TEST AND VALIDATION ENGINEER,130000.0,"NEWARK, CA",07/18/2019,08/05/2019,2019,155333.0,Junior,Vehicle,Relevant,1.1948718547401682
69,ATIEVA USA INC,AUTOMOTIVE ENGINEER,79810.0,"CASA GRANDE, AZ",10/07/2020,10/26/2020,2020,94081.0,Junior,Vehicle,Relevant,1.178816311800794
70,ATIEVA USA INC,AUTOMOTIVE ENGINEER,83949.0,"CASA GRANDE, AZ",10/07/2020,10/26/2020,2020,98960.0,Junior,Vehicle,Relevant,1.178816311800794
71,ATIEVA USA INC,AUTOMOTIVE ENGINEER,86466.0,"CASA GRANDE, AZ",10/07/2020,10/26/2020,2020,101928.0,Junior,Vehicle,Relevant,1.178816311800794
72,ATIEVA USA INC,AUTOMOTIVE ENGINEER,97011.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,114358.0,Junior,Vehicle,Relevant,1.178816311800794
73,ATIEVA USA INC,AUTOMOTIVE ENGINEER,100568.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,118551.0,Junior,Vehicle,Relevant,1.178816311800794
74,ATIEVA USA INC,AUTOMOTIVE ENGINEER,103168.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,121616.0,Junior,Vehicle,Relevant,1.178816311800794
75,ATIEVA USA INC,AUTOMOTIVE ENGINEER,112798.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,132968.0,Junior,Vehicle,Relevant,1.178816311800794
76,ATIEVA USA INC,AUTOMOTIVE ENGINEER,120994.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,142630.0,Junior,Vehicle,Relevant,1.178816311800794
77,ATIEVA USA INC,AUTOMOTIVE ENGINEER,123261.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,145302.0,Junior,Vehicle,Relevant,1.178816311800794
78,ATIEVA USA INC,AUTOMOTIVE ENGINEER,128586.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,151579.0,Junior,Vehicle,Relevant,1.178816311800794
79,ATIEVA USA INC,AUTOMOTIVE ENGINEER,141398.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,166682.0,Junior,Vehicle,Relevant,1.178816311800794
80,ATIEVA USA INC,AUTOMOTIVE ENGINEER,143374.0,"NEWARK, CA",10/07/2020,10/26/2020,2020,169012.0,Junior,Vehicle,Relevant,1.178816311800794
81,ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,130000.0,"NEWARK, CA",08/04/2020,08/24/2020,2020,153246.0,Junior,Vehicle,Relevant,1.178816311800794
82,ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,135000.0,"NEWARK, CA",04/13/2020,10/01/2020,2020,159140.0,Junior,Vehicle,Relevant,1.178816311800794
83,ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,135000.0,"NEWARK, CA",04/13/2020,10/01/2020,2020,159140.0,Junior,Vehicle,Relevant,1.178816311800794
84,ATIEVA USA INC,AUTOMOTIVE SW TEST AND VALIDATION ENGINEER,160000.0,"NEWARK, CA",10/01/2020,11/02/2020,2020,188611.0,Junior,Vehicle,Relevant,1.178816311800794
85,ATIEVA USA INC,AUTOMOTIVE TEST AND VALIDATION ENGINEER,98779.0,"NEWARK, CA",08/13/2019,10/28/2019,2019,118028.0,Junior,Vehicle,Relevant,1.1948718547401682
86,ATIEVA USA INC,AUTOMOTIVE TEST AND VALIDATION ENGINEER,112299.0,"NEWARK, CA",04/14/2020,10/01/2020,2020,132380.0,Junior,Vehicle,Relevant,1.178816311800794
87,ATIEVA USA INC,AUTOMOTIVE TEST AND VALIDATION ENGINEER,120000.0,"NEWARK, CA",09/19/2019,10/28/2019,2019,143385.0,Junior,Vehicle,Relevant,1.1948718547401682
88,ATIEVA USA INC,AUTONOMOUS DRIVING DATA ENGINEER,150000.0,"NEWARK, CA",09/29/2020,10/19/2020,2020,176822.0,Junior,Software,Relevant,1.178816311800794
89,ATIEVA USA INC,BATTERY PACK DESIGN ENGINEER,95000.0,"MENLO PARK, CA",03/14/2016,09/04/2016,2016,120820.0,Junior,Battery General,Battery,1.2717908148049968
90,ATIEVA USA INC,BIW LAUNCH MANAGER - DFM,180000.0,"NEWARK, CA",04/17/2020,10/01/2020,2020,212187.0,Manager,Manufacturing,Relevant,1.178816311800794
91,ATIEVA USA INC,BODY CONTROL ENGINEER,87526.0,"MENLO PARK, CA",03/31/2016,04/11/2016,2016,111315.0,Junior,Vehicle,Relevant,1.2717908148049968
92,ATIEVA USA INC,BODY ENGINEERING MECHANICAL ENGINEER,108000.0,"MENLO PARK, CA",08/18/2016,10/03/2016,2016,137353.0,Junior,Vehicle,Relevant,1.2717908148049968
93,ATIEVA USA INC,BODY INTERIOR ENGINEER,99216.0,"MENLO PARK, CA",03/10/2015,09/02/2015,2015,128800.0,Junior,Vehicle,Relevant,1.2981756685339816
94,ATIEVA USA INC,BUSINESS DEVELOPMENT SPECIALIST,82000.0,"MENLO PARK, CA",04/02/2015,04/20/2015,2015,106450.0,Junior,Business,Relevant,1.2981756685339816
95,ATIEVA USA INC,BUSINESS OPERATIONS ASSOCIATE,50690.0,"MENLO PARK, CA",02/25/2015,03/16/2015,2015,65805.0,Junior,Business,Relevant,1.2981756685339816
96,ATIEVA USA INC,BUSINESS OPERATIONS ASSOCIATE,72342.0,"MENLO PARK, CA",03/09/2015,03/16/2015,2015,93913.0,Junior,Business,Relevant,1.2981756685339816
97,ATIEVA USA INC,CAE ENGINEER MECHANICAL ENGINEER,130000.0,"NEWARK, CA",07/08/2020,07/20/2020,2020,153246.0,Junior,Mechanical,Relevant,1.178816311800794
98,ATIEVA USA INC,"CAE ENGINEER, DURABILITY",125000.0,"NEWARK, CA",04/15/2019,04/23/2019,2019,149359.0,Junior,Safety/Thermal,Relevant,1.1948718547401682
99,ATIEVA USA INC,CAE MECHANICAL ENGINEER,105269.0,"NEWARK, CA",03/05/2018,09/02/2018,2018,128657.0,Junior,Mechanical,Relevant,1.2221762268491798
100,ATIEVA USA INC,CAE TECHNICAL SPECIALIST,145000.0,"NEWARK, CA",04/09/2019,04/29/2019,2019,173256.0,Junior,Mechanical,Relevant,1.1948718547401682
101,ATIEVA USA INC,CHIEF TECHNOLOGY OFFICER,300000.0,"MENLO PARK, CA",12/22/2015,04/29/2016,2016,381537.0,C-Suite,General,Relevant,1.2717908148049968
102,ATIEVA USA INC,CHIEF TECHNOLOGY OFFICER,400000.0,"NEWARK, CA",12/13/2017,12/21/2017,2017,498209.0,C-Suite,General,Relevant,1.2455217341922085
103,ATIEVA USA INC,CHIEF TECHNOLOGY OFFICER,400000.0,"NEWARK, CA",04/02/2019,04/30/2019,2019,477949.0,C-Suite,General,Relevant,1.1948718547401682
104,ATIEVA USA INC,CONTRACT ADMINISTRATOR,50690.0,"MENLO PARK, CA",03/16/2015,09/10/2015,2015,65805.0,Junior,,Relevant,1.2981756685339816
105,ATIEVA USA INC,CONTROL ENGINEER,87526.0,"MENLO PARK, CA",03/03/2016,09/02/2016,2016,111315.0,Junior,Electrical,Relevant,1.2717908148049968
106,ATIEVA USA INC,CONTROL ENGINEER,89710.0,"NEWARK, CA",12/15/2017,12/20/2017,2017,111736.0,Junior,Electrical,Relevant,1.2455217341922085
107,ATIEVA USA INC,"CONTROLS ENGINEER, AUTONOMOUS DRIVING",118000.0,"NEWARK, CA",04/27/2020,10/01/2020,2020,139100.0,Junior,Electrical,Relevant,1.178816311800794
108,ATIEVA USA INC,CRAFTSMANSHIP ENGINEER,110000.0,"NEWARK, CA",04/21/2020,10/01/2020,2020,129670.0,Junior,General,Relevant,1.178816311800794
109,ATIEVA USA INC,DATA ENGINEER,110000.0,"NEWARK, CA",02/04/2019,08/06/2019,2019,131436.0,Junior,Software,Relevant,1.1948718547401682
110,ATIEVA USA INC,DATA ENGINEER,110000.0,"NEWARK, CA",02/04/2019,08/06/2019,2019,131436.0,Junior,Software,Relevant,1.1948718547401682
111,ATIEVA USA INC,DATA ENGINEER,115000.0,"NEWARK, CA",02/12/2019,08/14/2019,2019,137410.0,Junior,Software,Relevant,1.1948718547401682
112,ATIEVA USA INC,DATA ENGINEER,117770.0,"NEWARK, CA",05/08/2020,10/01/2020,2020,138829.0,Junior,Software,Relevant,1.178816311800794
113,ATIEVA USA INC,DATA ENGINEER,127920.0,"NEWARK, CA",03/04/2019,09/03/2019,2019,152848.0,Junior,Software,Relevant,1.1948718547401682
114,ATIEVA USA INC,"DESIGN ENGINEER, EXTERIOR SYSTEMS",100000.0,"NEWARK, CA",08/25/2020,10/01/2020,2020,117882.0,Junior,Vehicle,Relevant,1.178816311800794
115,ATIEVA USA INC,"DESIGN ENGINEER, EXTERIOR SYSTEMS",115000.0,"NEWARK, CA",02/25/2019,03/05/2019,2019,137410.0,Junior,Vehicle,Relevant,1.1948718547401682
116,ATIEVA USA INC,DESIGN RELEASE ENGINEER - LIGHTING SYSTEMS,108000.0,"NEWARK, CA",05/01/2020,10/01/2020,2020,127312.0,Junior,Mechanical,Relevant,1.178816311800794
117,ATIEVA USA INC,"DESIGN RELEASE ENGINEER, LIGHTING SYSTEMS",85000.0,"NEWARK, CA",04/17/2020,10/01/2020,2020,100199.0,Junior,Mechanical,Relevant,1.178816311800794
118,ATIEVA USA INC,DEVELOPMENT VERIFICATION ENGINEER,128731.0,"NEWARK, CA",10/20/2020,11/02/2020,2020,151750.0,Junior,Test/QA,Relevant,1.178816311800794
119,ATIEVA USA INC,DIAGNOSTICS SYSTEMS ENGINEER,135000.0,"NEWARK, CA",07/28/2020,08/17/2020,2020,159140.0,Junior,Electrical,Relevant,1.178816311800794
120,ATIEVA USA INC,DIGITAL DESIGNER,80142.0,"MENLO PARK, CA",05/20/2016,05/31/2016,2016,101924.0,Junior,Software,Relevant,1.2717908148049968
121,ATIEVA USA INC,DIGITAL DESIGNER,80766.0,"NEWARK, CA",12/15/2017,12/20/2017,2017,100596.0,Junior,Software,Relevant,1.2455217341922085
122,ATIEVA USA INC,DIGITAL MODELER,145000.0,"NEWARK, CA",08/21/2019,09/23/2019,2019,173256.0,Junior,Software,Relevant,1.1948718547401682
123,ATIEVA USA INC,DMU ENGINEER,115000.0,"NEWARK, CA",07/17/2020,07/27/2020,2020,135564.0,Junior,General,Relevant,1.178816311800794
124,ATIEVA USA INC,DRIVE UNIT TEST AND VALIDATION ENGINEER,95000.0,"NEWARK, CA",05/29/2020,10/01/2020,2020,111988.0,Junior,Test/QA,Relevant,1.178816311800794
125,ATIEVA USA INC,DRIVE UNIT TEST AND VALIDATION ENGINEER,100000.0,"NEWARK, CA",04/21/2020,10/01/2020,2020,117882.0,Junior,Test/QA,Relevant,1.178816311800794
126,ATIEVA USA INC,DRIVE UNIT TEST AND VALIDATION ENGINEER,120000.0,"NEWARK, CA",08/26/2020,08/26/2020,2020,141458.0,Junior,Test/QA,Relevant,1.178816311800794
127,ATIEVA USA INC,ELECTRICAL ENGINEER,89586.0,"MENLO PARK, CA",03/03/2015,09/02/2015,2015,116298.0,Junior,Electrical,Relevant,1.2981756685339816
128,ATIEVA USA INC,ELECTROMAGNETIC ANALYSIS ENGINEER,120000.0,"NEWARK, CA",11/06/2018,11/15/2018,2018,146661.0,Junior,Electrical,Relevant,1.2221762268491798
129,ATIEVA USA INC,EMBEDDED SOFT. ENG. ̱ ADAS AUTO. DRIVE,160000.0,"NEWARK, CA",08/05/2020,08/17/2020,2020,188611.0,Junior,Electrical,Relevant,1.178816311800794
130,ATIEVA USA INC,EMBEDDED SOFTWARE ENGINEER,115000.0,"NEWARK, CA",04/27/2020,10/01/2020,2020,135564.0,Junior,Software,Relevant,1.178816311800794
131,ATIEVA USA INC,ENGINEER - POWERTRAIN,79061.0,"MENLO PARK, CA",03/03/2017,09/02/2017,2017,98472.0,Junior,Vehicle,Relevant,1.2455217341922085
132,ATIEVA USA INC,ENGINEER - POWERTRAIN,91187.0,"NEWARK, CA",12/15/2017,12/20/2017,2017,113575.0,Junior,Vehicle,Relevant,1.2455217341922085
133,ATIEVA USA INC,ENGINEER - TECHNICAL SPECIALIST ERGONOMICS,160000.0,"NEWARK, CA",05/26/2020,10/01/2020,2020,188611.0,Junior,General,Relevant,1.178816311800794
134,ATIEVA USA INC,"ENGINEER, ADVANCED MANUFACTURING TEST",95000.0,"NEWARK, CA",04/16/2020,10/01/2020,2020,111988.0,Junior,Test/QA,Relevant,1.178816311800794
135,ATIEVA USA INC,"ENGINEER, AUTOMOTIVE E E SYSTEMS INTEGRATION",110000.0,"NEWARK, CA",08/25/2020,10/01/2020,2020,129670.0,Junior,Vehicle,Relevant,1.178816311800794
136,ATIEVA USA INC,"ENGINEER, AUTOMOTIVE EE SYSTEMS INTEGRATION",130000.0,"NEWARK, CA",01/29/2019,02/06/2019,2019,155333.0,Junior,Vehicle,Relevant,1.1948718547401682
137,ATIEVA USA INC,"ENGINEER, AUTOMOTIVE EE SYSTEMS INTEGRATION",130000.0,"NEWARK, CA",02/19/2019,08/21/2019,2019,155333.0,Junior,Vehicle,Relevant,1.1948718547401682
138,ATIEVA USA INC,"ENGINEER, AUTOMOTIVE EE SYSTEMS INTEGRATION",130000.0,"NEWARK, CA",01/30/2019,02/06/2019,2019,155333.0,Junior,Vehicle,Relevant,1.1948718547401682
139,ATIEVA USA INC,"ENGINEER, AUTONOMOUS DRIVING",117770.0,"NEWARK, CA",06/29/2020,07/06/2020,2020,138829.0,Junior,General,Relevant,1.178816311800794
140,ATIEVA USA INC,"ENGINEER, BATTERY",100000.0,"NEWARK, CA",04/27/2020,10/01/2020,2020,117882.0,Junior,Battery General,Battery,1.178816311800794
141,ATIEVA USA INC,"ENGINEER, BATTERY CELL TESTING",140000.0,"NEWARK, CA",05/28/2020,06/08/2020,2020,165034.0,Junior,Battery General,Battery,1.178816311800794
142,ATIEVA USA INC,"ENGINEER, BATTERY SYSTEMS",100000.0,"NEWARK, CA",05/11/2020,08/28/2020,2020,117882.0,Junior,Battery General,Battery,1.178816311800794
143,ATIEVA USA INC,"ENGINEER, BODY IN WHITE",90000.0,"NEWARK, CA",03/07/2019,09/06/2019,2019,107538.0,Junior,Vehicle,Relevant,1.1948718547401682
144,ATIEVA USA INC,"ENGINEER, BODY IN WHITE",91978.0,"NEWARK, CA",03/07/2019,09/06/2019,2019,109902.0,Junior,Vehicle,Relevant,1.1948718547401682
145,ATIEVA USA INC,"ENGINEER, BODY STRUCTURES",120000.0,"NEWARK, CA",01/10/2019,01/18/2019,2019,143385.0,Junior,Vehicle,Relevant,1.1948718547401682
146,ATIEVA USA INC,"ENGINEER, CHASSIS DESIGN AND RELEASE",135000.0,"NEWARK, CA",08/20/2020,09/14/2020,2020,159140.0,Junior,Vehicle,Relevant,1.178816311800794
147,ATIEVA USA INC,"ENGINEER, CONTROLS",130000.0,"NEWARK, CA",02/22/2019,08/23/2019,2019,155333.0,Junior,Electrical,Relevant,1.1948718547401682
